brand;artist;title;album;style;difficulty;total_xp;artwork_filename;pdf_filename;assignment_title;assignment_xp;soundslice_slug;publishing_status;instrument_removed;pdf_filename_tabs_and_notation;content_id
drumeo;Tom Petty;Zombie Zoo;;;;;;;;;;;TRUE;;296092
drumeo;Tom Petty;You Don't Know How It Feels;;;;;;;;;;;TRUE;;285146
drumeo;Tom Petty;Free Fallin’;;;;;;;;;;;TRUE;;264703
drumeo;Tom Petty & The Heartbreakers;Refugee;;;;;;;;;;;TRUE;;373853
drumeo;Tom Petty & The Heartbreakers;Learning To Fly;;;;;;;;;;;TRUE;;264707
drumeo;Tom Petty & The Heartbreakers;American Girl;;;;;;;;;;;TRUE;;270757
drumeo;Tommy Tutone;867-5309/Jenny;;;;;;;;;;;TRUE;;291652
drumeo;Tony Joe White;Polk Salad Annie;;;;;;;;;;;TRUE;;349880
drumeo;Tool;7empest;;;;;;;;;;;TRUE;;368735
drumeo;Tool;Invincible;;;;;;;;;;;TRUE;;270765
drumeo;Tool;Pneuma;;;;;;;;;;;TRUE;;270767
drumeo;Tool;Rosetta Stoned;;;;;;;;;;;TRUE;;372740
drumeo;Tool;Ænema;;;;;;;;;;;TRUE;;270761
drumeo;Tool;Jambi;;;;;;;;;;;TRUE;;270759
drumeo;Tool;Schism;;;;;;;;;;;TRUE;;270769
drumeo;Tool;Eulogy;;;;;;;;;;;TRUE;;270763
drumeo;Tool;Forty Six & 2;;;;;;;;;;;TRUE;;264709
drumeo;Tool;Stinkfist;;;;;;;;;;;TRUE;;360015
drumeo;Tool;The Grudge;;;;;;;;;;;TRUE;;270771
drumeo;Tori Amos;Space Dog;;;;;;;;;;;TRUE;;328251
drumeo;Tori Kelly;Masterpiece;;;;;;;;;;;TRUE;;285148
