CONTENT_ID	Brand	Lesson Title	Content Type	CMS URL	Course/Pack
29250	drumeo	Toxicity	song	https://admin.musora.com/admin#/content/drumeo/29250	
29414	drumeo	Your Hybrid Beat Machine #2 - Adding A Laptop To Your Set-up	gear-guides	https://admin.musora.com/admin#/content/drumeo/29414	
29418	drumeo	Bass Drum Beater Beat Off	gear-guides	https://admin.musora.com/admin#/content/drumeo/29418	
29755	drumeo	50 Ways To Leave Your Lover	song	https://admin.musora.com/admin#/content/drumeo/29755	
29774	drumeo	Your Hybrid Beat Machine #3 - Adding Pads To Your Set-up	gear-guides	https://admin.musora.com/admin#/content/drumeo/29774	
30151	drumeo	Sabian Artisan Cymbals Review	gear-guides	https://admin.musora.com/admin#/content/drumeo/30151	
30197	drumeo	The Drumosphere	play-along	https://admin.musora.com/admin#/content/drumeo/30197	
30199	drumeo	Rollercoaster By Emi Secrest	play-along	https://admin.musora.com/admin#/content/drumeo/30199	
30340	drumeo	The Winged Bull by Scale The Summit	play-along	https://admin.musora.com/admin#/content/drumeo/30340	
30342	drumeo	Shotgun Approach by Loop Doctors	play-along	https://admin.musora.com/admin#/content/drumeo/30342	
30370	drumeo	Bee's Knees	play-along	https://admin.musora.com/admin#/content/drumeo/30370	
30373	drumeo	Play That Funky Music	song	https://admin.musora.com/admin#/content/drumeo/30373	
30626	drumeo	Tasty Corner	play-along	https://admin.musora.com/admin#/content/drumeo/30626	
31104	drumeo	Locked Out Of Heaven	song	https://admin.musora.com/admin#/content/drumeo/31104	
31167	drumeo	Strange Thing	play-along	https://admin.musora.com/admin#/content/drumeo/31167	
31246	drumeo	Rock You Like A Hurricane	song	https://admin.musora.com/admin#/content/drumeo/31246	
31294	drumeo	Things A Drummer Would Never Say	podcasts	https://admin.musora.com/admin#/content/drumeo/31294	
31366	drumeo	Creepin'	play-along	https://admin.musora.com/admin#/content/drumeo/31366	
31447	drumeo	Online Drumming Trolls	podcasts	https://admin.musora.com/admin#/content/drumeo/31447	
31532	drumeo	Proud Mary	song	https://admin.musora.com/admin#/content/drumeo/31532	
31585	drumeo	Who Is The Best Drummer?	podcasts	https://admin.musora.com/admin#/content/drumeo/31585	
31639	drumeo	Plastic	play-along	https://admin.musora.com/admin#/content/drumeo/31639	
31648	drumeo	How To Be Creative	podcasts	https://admin.musora.com/admin#/content/drumeo/31648	
31710	drumeo	Drum Products That Should Be Invented	podcasts	https://admin.musora.com/admin#/content/drumeo/31710	
31776	drumeo	The Power Of Music	podcasts	https://admin.musora.com/admin#/content/drumeo/31776	
31845	drumeo	Electric vs. Acoustic Drums (Which Is Better?)	podcasts	https://admin.musora.com/admin#/content/drumeo/31845	
189972	drumeo	Hannah Welton PASIC 2017 Performance	on-the-road	https://admin.musora.com/admin#/content/drumeo/189972	
190166	drumeo	Snare Drum-parisons - 12 Inch Snares	gear-guides	https://admin.musora.com/admin#/content/drumeo/190166	
190438	drumeo	How To Set Drumming Goals For 2018	podcasts	https://admin.musora.com/admin#/content/drumeo/190438	
190439	drumeo	What Drum Heads Are The Best	podcasts	https://admin.musora.com/admin#/content/drumeo/190439	
190995	drumeo	Always On The Run	song	https://admin.musora.com/admin#/content/drumeo/190995	
191232	drumeo	David Garibaldi	study-the-greats	https://admin.musora.com/admin#/content/drumeo/191232	
196084	drumeo	Making Blast Beats Groove	quick-tips	https://admin.musora.com/admin#/content/drumeo/196084	
197014	pianote	More Chord Progression Tips And Tricks	boot-camps	https://admin.musora.com/admin#/content/pianote/197014	
197034	pianote	The Minor Keys (Harmonic and Melodic Minor)	boot-camps	https://admin.musora.com/admin#/content/pianote/197034	
197036	pianote	Chord Progression Tips And Tricks	boot-camps	https://admin.musora.com/admin#/content/pianote/197036	
197100	pianote	Chordhacks	quick-tips	https://admin.musora.com/admin#/content/pianote/197100	
197115	pianote	Warm Up Practice Along With Jordan	boot-camps	https://admin.musora.com/admin#/content/pianote/197115	
198094	drumeo	Gergo Borlai Drum Solo	solos	https://admin.musora.com/admin#/content/drumeo/198094	
198095	drumeo	Antonio Sanchez Solo	solos	https://admin.musora.com/admin#/content/drumeo/198095	
198097	drumeo	Dave DiCenso Drum Solo	solos	https://admin.musora.com/admin#/content/drumeo/198097	
198100	drumeo	John Blackwell Drum Solo	solos	https://admin.musora.com/admin#/content/drumeo/198100	
198860	drumeo	Senri Kawaguchi Solo #2	solos	https://admin.musora.com/admin#/content/drumeo/198860	
201899	drumeo	Claus Hessler Solo	solos	https://admin.musora.com/admin#/content/drumeo/201899	
202284	drumeo	Drum Recording Tips From Victor Guidera (Drumeo’s Audio Guru)	podcasts	https://admin.musora.com/admin#/content/drumeo/202284	
202290	drumeo	Eric Moore PASIC 2017 Performance/Clinic	on-the-road	https://admin.musora.com/admin#/content/drumeo/202290	
202295	drumeo	Daniel Glass Solo	solos	https://admin.musora.com/admin#/content/drumeo/202295	
