Children	Publisher Name
MUSIC & MEDIA INT'L, INC.	OTHER
MUSIC OF THE MOTHERSHIP	SACEM
MUSIC SALES CORPORATION	SACEM
MUSIC SERVICES ADMINISTRATION	OTHER
MUSIC SERVICES, INC.	OTHER
MUSICAL COMEDY PRODUCTIONS INC	OTHER
MUTE SONG	OTHER
N C B SCANDINAVIA	OTHER
NASHCO MUSIC, INC.	OTHER
NDE MUSIC, INC.	OTHER
NEN MUSIC	OTHER
NEW EXECUTIVE MUSIC	OTHER
NEW SPRING PUBLISHING INC	OTHER
NIMANI, ENT CO.	OTHER
NKC SONGS	OTHER
NORTHSIDE INDEPENDENT PUB.	OTHER
NW COLLECTIONS	OTHER
OWL RAT PUBLISHING	OTHER
PACIFIC WIND MUSIC	OTHER
PANNAL ASH PUBLISHING	OTHER
PATTI WASHINGTON MUSIC	OTHER
PENNAME MUSIC	OTHER
PENNY FARTHING MUSIC	CONCORD
PENSIVE MUSIC	OTHER
PETER PAN MUSIC PUBLISHING	OTHER
PIEDMONT MUSIC CO.	OTHER
PODS PUBLISHING	OTHER
POSITION MUSIC PUBLISHING	OTHER
PRINCE BUSTER MUSIC	OTHER
PUBLIC DOMAIN	OTHER
PURDELL MUSIC	OTHER
RALEIGH MUSIC PUBLISHING	OTHER
RANGE ROAD MUSIC, INC.	OTHER
RAY HENDERSON MUSIC CO., INC.	OTHER
REACH GLOBAL SONGS	OTHER
REACH GLOBAL TUNES	OTHER
REACH MUSIC PUBLISHING	OTHER
REACH MUSIC SONGS	OTHER
REACH MUSIC TUNES	OTHER
REALSONGS	OTHER
RED BRICK SONGS	OTHER
REGARD MUSIC	OTHER
RICHARD M. LONG D/B/A TUSCANY GUITAROMANIE EDITIONS	OTHER
RIGHTSONG MUSIC, INC.	OTHER
RMM 416 PUBLISHING	RESERVOIR
ROSEST PUBLISHING	OTHER
ROUGH TRADE SONGS	OTHER
ROYNET MUSIC	OTHER
RUMINATING MUSIC	WIXEN
S D R M	SACEM
S.I.A.E. DIREZIONE GENERALE	OTHER
SAIKO MUSIC	OTHER
SANDRA ELIZABETH SULLY	OTHER
SCOWAY MUSIC	OTHER
SCREEN GEMS-EMI MUSIC INC	SMP
SECOND FLOOR MUSIC	OTHER
SECRETLY CANADIAN PUBLISHING	OTHER
SENTRIC MUSIC LIMITED	SACEM
SEVENTH HOUSE LTD.	OTHER
SHAPIRO BERNSTEIN & CO. INC.	RESERVOIR
SHELLY BAY MUSIC	OTHER
SIS N BRO TOO, LLC	OTHER
