CONTENT_ID	Brand	Lesson Title	Content Type	CMS URL	Permission IDs	Parent Title
355758	drumeo	Spotlight: Danny Seraphine - Q&A	coach-stream	https://admin.musora.com/admin#/content/drumeo/355758	92;94;78;88;89;90	
301389	drumeo	Discussing Musical Influences	coach-stream	https://admin.musora.com/admin#/content/drumeo/301389	92;94;78;88;89;90	
350625	drumeo	Roast & Review: Episode 2	coach-stream	https://admin.musora.com/admin#/content/drumeo/350625	92;94;78;88;89;90	
306512	drumeo	The Todd Sucherman Show #29 - The Stewart Copeland Effect	coach-stream	https://admin.musora.com/admin#/content/drumeo/306512	92;94;78;88;89;90	
322930	drumeo	The Todd Sucherman Show #41 - Songs In 7	coach-stream	https://admin.musora.com/admin#/content/drumeo/322930	92;94;78;88;89;90	
306512	drumeo	The Todd Sucherman Show #29 - The Stewart Copeland Effect	coach-stream	https://admin.musora.com/admin#/content/drumeo/306512	92;94;78;88;89;90	
322933	drumeo	The Todd Sucherman Show #44 - Listening Party	coach-stream	https://admin.musora.com/admin#/content/drumeo/322933	92;94;78;88;89;90	
301362	drumeo	The Todd Sucherman Show #23 - Tony Williams	coach-stream	https://admin.musora.com/admin#/content/drumeo/301362	92;94;78;88;89;90	
306483	drumeo	Domino Performs Live!	coach-stream	https://admin.musora.com/admin#/content/drumeo/306483	92;94;78;88;89;90	
301789	drumeo	Steel Pans!	coach-stream	https://admin.musora.com/admin#/content/drumeo/301789	92;94;78;88;89;90	
301386	drumeo	Q&A + Monthly Recap	coach-stream	https://admin.musora.com/admin#/content/drumeo/301386	92;94;78;88;89;90	
306506	drumeo	Drumming Along With Ableton: Triggering From Your Drum Kit	coach-stream	https://admin.musora.com/admin#/content/drumeo/306506	92;94;78;88;89;90	
306570	drumeo	August Recap & Q&A With Aric Improta	coach-stream	https://admin.musora.com/admin#/content/drumeo/306570	92;94;78;88;89;90	
301376	drumeo	Drumming Along With Ableton - Play-Alongs	coach-stream	https://admin.musora.com/admin#/content/drumeo/301376	92;94;78;88;89;90	
301376	drumeo	Drumming Along With Ableton - Play-Alongs	coach-stream	https://admin.musora.com/admin#/content/drumeo/301376	92;94;78;88;89;90	
306514	drumeo	The Todd Sucherman Show #31 - The Mission- Part 2	coach-stream	https://admin.musora.com/admin#/content/drumeo/306514	92;94;78;88;89;90	
322929	drumeo	The Todd Sucherman Show #40 - The Mission Live In Las Vegas	coach-stream	https://admin.musora.com/admin#/content/drumeo/322929	92;94;78;88;89;90	
301362	drumeo	The Todd Sucherman Show #23 - Tony Williams	coach-stream	https://admin.musora.com/admin#/content/drumeo/301362	92;94;78;88;89;90	
301774	drumeo	Domino Performs Live!	coach-stream	https://admin.musora.com/admin#/content/drumeo/301774	92;94;78;88;89;90	
322933	drumeo	The Todd Sucherman Show #44 - Listening Party	coach-stream	https://admin.musora.com/admin#/content/drumeo/322933	92;94;78;88;89;90	
306512	drumeo	The Todd Sucherman Show #29 - The Stewart Copeland Effect	coach-stream	https://admin.musora.com/admin#/content/drumeo/306512	92;94;78;88;89;90	
306513	drumeo	The Todd Sucherman Show #30 - The Mission- Part 1	coach-stream	https://admin.musora.com/admin#/content/drumeo/306513	92;94;78;88;89;90	
322931	drumeo	The Todd Sucherman Show #42 - London Palladium Live Part 1	coach-stream	https://admin.musora.com/admin#/content/drumeo/322931	92;94;78;88;89;90	
322929	drumeo	The Todd Sucherman Show #40 - The Mission Live In Las Vegas	coach-stream	https://admin.musora.com/admin#/content/drumeo/322929	92;94;78;88;89;90	
292769	drumeo	Fix Your Tempo!	coach-stream	https://admin.musora.com/admin#/content/drumeo/292769	92;94;78;88;89;90	
281278	drumeo	How To Make It On Instagram As A Drummer!	coach-stream	https://admin.musora.com/admin#/content/drumeo/281278	92;94;78;88;89;90	
306565	drumeo	Discussing Self Expression	coach-stream	https://admin.musora.com/admin#/content/drumeo/306565	92;94;78;88;89;90	
322334	drumeo	Q&A With Matt	coach-stream	https://admin.musora.com/admin#/content/drumeo/322334	92;94;78;88;89;90	
301362	drumeo	The Todd Sucherman Show #23 - Tony Williams	coach-stream	https://admin.musora.com/admin#/content/drumeo/301362	92;94;78;88;89;90	
306580	drumeo	Drummers On Instagram You Should Follow	coach-stream	https://admin.musora.com/admin#/content/drumeo/306580	92;94;78;88;89;90	
322302	drumeo	Aric's 5 Favourite Drum Songs	coach-stream	https://admin.musora.com/admin#/content/drumeo/322302	92;94;78;88;89;90	
322315	drumeo	The Todd Sucherman Show #39 - Songs In 5	coach-stream	https://admin.musora.com/admin#/content/drumeo/322315	92;94;78;88;89;90	
322930	drumeo	The Todd Sucherman Show #41 - Songs In 7	coach-stream	https://admin.musora.com/admin#/content/drumeo/322930	92;94;78;88;89;90	
306512	drumeo	The Todd Sucherman Show #29 - The Stewart Copeland Effect	coach-stream	https://admin.musora.com/admin#/content/drumeo/306512	92;94;78;88;89;90	
