Public/Owned	CONTENT_ID	MLC	ISRC	ISWC	TITLE	ARTIST	SMP	UMP	BMG	KOBALT	WCM	ABKCO	AUDIAM	BELIEVE	CONCORD	DMG	DST	HAL	HIPGNOSIS	PEER	RESERVOIR	ROUND HILL	SPIRIT	WIXEN	OTHER	Risk
FALSE	377496	M56044		T0701137236	More Than A Feeling	Boston	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	282843	M56044		T0701137236	More Than A Feeling	Boston	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	24855	M56044		T0701137236	More Than A Feeling	Boston	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	214898	M56044		T0701137236	More Than A Feeling	Boston	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	375588	M56044		T0701137236	More Than A Feelin'	Boston	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	359072	M56054		T9016427535	More Than A Woman	Foo Fighters	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	387955	M56054		T9016427535	More Than A Woman	Foo Fighters	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	387955	M56428		T0710671876	M.I.A.	Foo Fighters	0	0	20	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	358942	M56428		T0710671876	M.I.A.	Foo Fighters	0	0	20	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	357630	M58000		T0104501985	Morning Has Broken	Cat Stevens	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	382565	M58000		T0104501985	Morning Has Broken	Cat Stevens	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	410361	M58000		T0104501985	Morning Has Broken (Easy Version)	Cat Stevens	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	373730	M58000		T0104501985	Morning Has Broken	Eleanor Farjeon	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	404628	M58000		T0104501985	Morning Has Broken (Easy Version)	Cat Stevens	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	382877	M58000		T0104501985	Morning Has Broken	Cat Stevens	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	404620	M58000		T0104501985	Morning Has Broken (Full Version)	Cat Stevens	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	357618	M58000		T0104501985	Morning Has Broken	Cat Stevens	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	406940	M59503		T0112891834	Mother	Pink Floyd	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	329051	M59503		T0112891834	Mother	Pink Floyd	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	407432	M5955W	DED830703843		The Mirror's Truth	In Flames	0	0	33.34	66.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	384269	M59988		T0118010299	Many Of Horror	Biffy Clyro	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	385919	M60376		T0712857845	The Modern Age	The Strokes	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	384973	M61128		T0702484103	Man On The Moon	R.E.M.	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	335004	M62281		T0709150684	Mountains	Prince	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	373484	M62306		T0602274054	Message To My Girl	Jimmy Barnes	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	384211	M6294L		T9009486195	Metalingus	Alter Bridge	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	Blue
FALSE	386132	M65200		T0701096414	Mr. Sandman	Chet Atkins	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	291660	M65640	USSM17800438		Rockmaker	Toto	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	Blue
FALSE	401049	M66775		T0116325166	Mull Of Kintyre	Paul McCartney And Wings	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	398118	M66775		T0116325166	Mull Of Kintyre	Wings	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	236821	M67194		T0717218444	My Immortal	Evanescence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	Blue
FALSE	276246	M67194		T0717218444	My Immortal	Evanescence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	Blue
FALSE	379132	M67194		T0717218444	My Immortal	Evanescence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	Blue
FALSE	380316	M67194		T0717218444	My Immortal	Evanescence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	Blue
FALSE	389280	M67194		T0717218444	My Immortal	Evanescence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	Blue
FALSE	392309	M67194		T0717218444	My Immortal	Evanescence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	Blue
FALSE	384301	M69750	USMC10201119		My Adobe Hacienda	Bob Wills And The Texas Playboys	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	Blue
FALSE	270373	M69900		T0702423468	My Babe	Bo Diddley	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	392697	M7100U		T0723400176	My Doorbell	The White Stripes	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	392669	M7100U		T0723400176	My Doorbell	The White Stripes	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	406380	M7254T	USSM10605840		Master Exploder	Tenacious D	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	227728	M7425R		T9058244294	The Munsters Main Theme	Music Factory	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	378202	M7499P	USVI28900035	not found	Mr. Cab Driver	Lenny Kravitz	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	399858	M77830		T0701145201	My Kinda Lover	Billy Squier	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	Blue
FALSE	378325	M7794O		T9052987152	Mean	Taylor Swift	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	379114	M7794O		T9052987152	Mean	Taylor Swift	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	380308	M7794O		T9052987152	Mean	Taylor Swift	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	270345	M79880		T9134687744	Lucille	B.B. King	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	244519	M82260	USMC17347194		My Old School	Steely Dan	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	230146	M82260	USMC17347194		My Old School	Steely Dan	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	233778	M82260	USMC17347194		My Old School	Steely Dan	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	359016	M8405S		T9062189531	Miss The Misery	Foo Fighters	0	0	11.11	77.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	387955	M8405S		T9062189531	Miss The Misery	Foo Fighters	0	0	11.11	77.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	359010	M8405T		T9062189520	A Matter Of Time	Foo Fighters	0	0	22.22	77.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	387955	M8405T		T9062189520	A Matter Of Time	Foo Fighters	0	0	22.22	77.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	387185	M85300		T0100254452	My Sweet Lord	George Harrison	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	377112	M8671H		T9188624717	The Message	Grandmaster Flash & The Furious Five	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	384929	M8740C		T9002251334	My Ashes	Porcupine Tree	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	Blue
FALSE	269470	M9292P		T9118110900	Make It Bun Dem	Skrillex	0	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	301386	M97935		T9113621537	Mutual Core	Björk	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	392792	M9940V		T9098235597	Mantra	Dave Grohl Josh Homme & Trent Reznor	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	291228	MA0H6W		T3003638146	My Future	Billie Eilish	0	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	390958	MA0IM1		T0702702144	My Love	Paul McCartney & Wings	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	359064	MA0QKK		T3020106729	Medicine At Midnight	Foo Fighters	0	0	23	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	387955	MA0QKK		T3020106729	Medicine At Midnight	Foo Fighters	0	0	23	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	359062	MA0XS6		T3020147240	Making A Fire	Foo Fighters	0	0	23	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	387955	MA0XS6		T3020147240	Making A Fire	Foo Fighters	0	0	23	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	371750	MA1WZ7		T9315681722	Me & Ur Ghost	blackbear	0	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	303627	MA4ZK7		T9276349203	Manilla Chill	Kicktracks	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	Blue
FALSE	306506	MA7MRK		T3042782076	Monday	Imagine Dragons	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	404347	MA8YY2		T9318736333	Mammoth	Mammoth WVH	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	404576	MA8YZA		T9318736344	Miles Above Me	Mammoth WVH	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	384343	MA9FCC		T9270848674	Medicine	Bring Me The Horizon	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	388088	MB0TQ3		T9316344602	Mary On A Cross	Ghost	0	66.67	33.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	392061	MB0TQ3		T9316344602	Mary On A Cross	Ghost	0	66.67	33.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	390832	MB2Q7S		T3101867334	Masterpiece	Motionless In White	0	0	84	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	306570	MC06IN		T3069074911	Monomyth	Animals As Leaders	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	393121	MC1TIJ		T0713550823	My Sacrifice	Creed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	Blue
FALSE	397599	MG5STQ	USWB12207174		Mattel	Avenged Sevenfold	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	396820	MG5STQ	USWB12207174		Mattel	Avenged Sevenfold	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
