id,type,brand,assignment_id,soundslice_slug,length_in_seconds
378385,song,guitareo,378386,vNq4c,219
378387,song,guitareo,378388,wm5kc,165
378389,song,guitareo,378390,CZmkc,134
378391,song,guitareo,378392,Fq5kc,236
378393,song,guitareo,378394,7q5kc,194
378395,song,guitareo,378396,vnGkc,140
378397,song,guitareo,378398,kK5kc,223
378399,song,guitareo,378400,Hcl4c,261
378401,song,guitareo,378402,SLgkc,156
378403,song,guitareo,378404,wjgkc,164
378405,song,guitareo,378406,nKX4c,142
378407,song,guitareo,378408,Ytgkc,109
378409,song,guitareo,378410,-7c4c,231
378411,song,guitareo,378412,Hpgkc,125
378413,song,guitareo,378414,21Gkc,157
378415,song,guitareo,378416,fcq4c,186
378417,song,guitareo,378418,qjgkc,276
378419,song,guitareo,378420,1gGkc,198
378421,song,guitareo,378422,K8R4c,254
378423,song,guitareo,378424,7qR4c,286
378425,song,guitareo,378426,wcq4c,230
378427,song,guitareo,378428,Hcq4c,246
378429,song,guitareo,378430,Jcq4c,213
378431,song,guitareo,378432,Bcq4c,185
378433,song,guitareo,378434,V-X4c,171
378435,song,guitareo,378436,hDq4c,179
378437,song,guitareo,378438,-sq4c,152
378439,song,guitareo,378440,KMq4c,175
378441,song,guitareo,378442,Q8q4c,149
378443,song,guitareo,378444,pDq4c,176
378445,song,guitareo,378446,kpX4c,180
378447,song,guitareo,378448,Rkq4c,143
381527,song,guitareo,381528,GzJ4c,104
381529,song,guitareo,381530,WgT4c,259
381531,song,guitareo,381532,bhT4c,146
381579,song,guitareo,381583,hWJ4c,344
381654,song,guitareo,381655,cQJ4c,285
381658,song,guitareo,381659,fPJ4c,180
381687,song,guitareo,381688,t7b4c,243
381689,song,guitareo,381690,kjb4c,228
381753,song,guitareo,381754,S-s4c/,172
382280,song,guitareo,382281,Bpd4c,238
382295,song,guitareo,382297,1nR4c,158
382344,song,guitareo,382345,5z84c,163
382346,song,guitareo,382347,R474c,205
382348,song,guitareo,382349,DT74c,188
382350,song,guitareo,382351,Dbd4c,144
382353,song,guitareo,382354,5f74c,158
383063,song,guitareo,383064,t2H4c,236
383065,song,guitareo,383066,H8s4c,288
383067,song,guitareo,383068,n2H4c,233
383069,song,guitareo,383070,1DH4c,223
383071,song,guitareo,383072,rmk4c,225
383073,song,guitareo,383074,Qw84c,239
383075,song,guitareo,383076,THT4c,323
383077,song,guitareo,383078,wsb4c,209
383079,song,guitareo,383080,3r14c,209
383081,song,guitareo,383082,qr14c,133
383083,song,guitareo,383084,BV14c,230
383085,song,guitareo,383086,Tr14c,249
383087,song,guitareo,383088,br14c,189
383089,song,guitareo,383090,jsb4c,237
383091,song,guitareo,383092,h6b4c,188
383093,song,guitareo,383462,Crb4c,290
383095,song,guitareo,378075,YvX4c,471
383096,song,guitareo,383097,w-q4c,289
383098,song,guitareo,383099,w4J4c,184
383100,song,guitareo,383101,HYJ4c,173
383102,song,guitareo,383103,MyJ4c,230
383104,song,guitareo,383105,p3H4c,147
383106,song,guitareo,383107,Kls4c,144
383108,song,guitareo,383109,Qls4c,230
383110,song,guitareo,383111,7fT4c,146
383112,song,guitareo,383113,lMJ4c,196
383114,song,guitareo,383115,D7T4c,192
383116,song,guitareo,383463,Nzs4c,137
383118,song,guitareo,383119,S-q4c,268
383120,song,guitareo,383121,ZZJ4c,193
383122,song,guitareo,383123,SFq4c,193
383124,song,guitareo,383094,f5q4c,218
383125,song,guitareo,383126,Gw84c,213
383127,song,guitareo,383128,Xh14c,214
383129,song,guitareo,383130,KnT4c,213
383131,song,guitareo,383132,ZGb4c,149
383133,song,guitareo,383134,6q14c,197
383135,song,guitareo,383136,Zl84c,274
383137,song,guitareo,383138,L4H4c,212
383139,song,guitareo,383140,MHH4c,223
383141,song,guitareo,383142,WGq4c,219
383143,song,guitareo,383144,L-b4c,379
383145,song,guitareo,383146,-sb4c,158
383147,song,guitareo,383148,hpb4c,213
383149,song,guitareo,383464,88T4c,232
383151,song,guitareo,383152,C1T4c,244
383153,song,guitareo,383154,LDJ4c,191
383155,song,guitareo,383156,3kH4c,250
383157,song,guitareo,383158,zfs4c,269
383159,song,guitareo,383160,pzs4c,182
383161,song,guitareo,383162,35q4c,296
383163,song,guitareo,383164,y4T4c,257
383165,song,guitareo,383166,B2s4c,224
383167,song,guitareo,383168,wnq4c,236
383169,song,guitareo,383170,C8s4c,247
383171,song,guitareo,383172,SqH4c,224
383173,song,guitareo,377769,KGs4c,209
383174,song,guitareo,383175,9CT4c,212
383176,song,guitareo,383177,SKH4c,150
383178,song,guitareo,383179,YsT4c,259
383180,song,guitareo,383181,bKH4c,254
