id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
212105,live,Maxixe & Maracatu Rhythms,Latin/World,,,,,Grooves,,,
212106,live,Practical Techniques For The 21st Century Drummer,,Hand Technique,,,,,,,
212121,live,Accentualisation #3 - Let’s Funk It Up,Funk/Disco,Dynamics,,,,Grooves,Fills & Chops,,
212124,live,Exploring Hip-Hop Grooves,Hip-Hop/Rap/EDM,,,,,Grooves,,,
212505,live,A Fun And Easy Approach To Drum Fills,,,,,,Fills & Chops,,,
21261,live,Blues Grooves,Jazz/Blues,,,,,Grooves,Fills & Chops,,
21266,live,Speed Around The Kit,,,,,,Fills & Chops,,,
21268,live,From Rock To Jazz,Pop/Rock,,,,,Grooves,Fills & Chops,,
21270,live,Playing Brushes With All Styles Of Music,,Hand Technique,,,,,,,
21274,live,Paradiddles Around The Kit,,Hand Technique,Rudiments,,,Grooves,Fills & Chops,,
21313,live,"Jump Up, Play Today's Drum 'n' Bass",Hip-Hop/Rap/EDM,,,,,Grooves,Fills & Chops,,
21317,live,Understanding Odd Time - 15/16,,,,Time Signatures,,Grooves,,,
21346,live,Essential Reggae Beats,Latin/World,,,,,Grooves,,,
21353,live,Rudiment Burn - Lesson 25,,Rudiments,,,,,,,
21408,live,Rudiment Burn - Single Drag Tap,,Rudiments,,,,,,,
214094,live,"How To Build A Better, Stronger, And Faster Single Kick",,Foot Technique,,,,Independence,,,
214095,live,Interview With Stan Bicknell,,,,,,,,Other,
21410,live,Cross-Sticking Technique,,Dynamics,,,,Grooves,Independence,,
21437,live,Rudiment Burn - Dragadiddle #2,,Rudiments,,,,,,,
21448,live,Decades Of Drumming - The 2000s,Pop/Rock,,,,,Grooves,Fills & Chops,,
21452,live,Adding Splashes To Your Grooves,,,,,,Grooves,,Gigging Tips & Gear,
21456,live,Adding Splashes To Your Fills,,,,,,Fills & Chops,,Gigging Tips & Gear,
21458,live,The Waltz,,,,Time Signatures,,Grooves,,,
21462,live,Rudiment Burn - Pataflafla,,Rudiments,,,,,,,
214659,live,Progressive Steps To Creating Linear Grooves #1,,,,,,Grooves,Fills & Chops,,
21488,live,Musical Mileage,,,,,,Grooves,Making Music,Gigging Tips & Gear,Practice Tips
21495,live,Independence On The Pad,,Hand Technique,,,,Independence,,,
21501,live,Style Analysis - Keith Carlock,,,,,,Grooves,Fills & Chops,,
21503,live,Heavy Benny,,,,,,Double Bass,,Practice Tips,
21507,live,Understanding Odd Time - 7/8,,,,Time Signatures,,Grooves,,,
215079,live,Backbeat Fills,,,,,,Fills & Chops,,,
21555,live,How To Make Your Cheap Kit Sound Amazing,,Setup & Tuning,,,,,,Gigging Tips & Gear,
21565,live,4 Simple Tips For Better Groove,,Timing,,,,Grooves,,,
215678,live,Effective Triplets For Rock,Pop/Rock,,,,,Fills & Chops,,,
215679,live,Interview With Brian Tichy,,,,,,,,Other,
21568,live,The Cruciality Of Trap (Beats),Hip-Hop/Rap/EDM,,,,,Grooves,,,
21572,live,Upbeat Fun,,,,,,Grooves,Independence,,
21598,live,Mike's Approach To Creativity,,,,,,Grooves,Making Music,Gigging Tips & Gear,
21610,live,Full Time To Half Time,,Timing,,,,Grooves,,,
21613,live,Polyrhythmic Fills,,,,Time Signatures,,Fills & Chops,,,
21615,live,Let's Practice - Single Stroke Roll,,Rudiments,,,,,,,
21619,live,Beginner Hip-Hop Grooves,Hip-Hop/Rap/EDM,,,,,Grooves,,,
21631,live,The ParaTriplet,,Rudiments,,,,,,,
21636,live,Double-Bass Foot Assignment,,,,,,Double Bass,Grooves,,
21638,live,Unique Tom Grooves,,,,,,Grooves,,,
21640,live,Beginner Snare Permutation,,,,,,Grooves,Independence,,
21644,live,Intermediate Hip-Hop Grooves,Hip-Hop/Rap/EDM,,,,,Grooves,,,
21691,live,Expressive Hats,,,,,,Grooves,Independence,,
21693,live,Intermediate Snare Permutation,,,,,,Grooves,Independence,,
