id,slug,coach_card_image,coach_bottom_banner_image,coach_top_banner_image,coach_featured_image
233364,raghav-mehrotra,https://d1923uyy6spedc.cloudfront.net/coach-cards/Raghav-Mehrotra-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Raghav-Mehrotra-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Raghav-Mehrotra-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Raghav-Mehrotra-1920x1080.jpg
232650,gregg-bissonette,https://d1923uyy6spedc.cloudfront.net/coach-cards/Gregg-Bissonette-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Gregg-Bissonette-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Gregg-Bissonette-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Gregg-Bissonette-1920x1080.jpg
231920,heather-thomas,https://d1923uyy6spedc.cloudfront.net/coach-cards/Heather-Thomas-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Heather-Thomas-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Heather-Thomas-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Heather-Thomas-1920x1080.jpg
230449,gil-sharone,https://d1923uyy6spedc.cloudfront.net/coach-cards/Gil-Sharone-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Gil-Sharone-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Gil-Sharone-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Gil_Sharone-1920x1080.jpg
225962,rashid-williams,https://d1923uyy6spedc.cloudfront.net/coach-cards/Rashid-Williams-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Rashid-Williams-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Rashid-Williams-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Rashid-Williams-1920x1080.jpg
224273,keith-carlock,https://d1923uyy6spedc.cloudfront.net/coach-cards/Keith-Cardlock-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Keith-Carlock-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Keith-Carlock-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Keith-Carlock-1920x1080.jpg
220967,daru-jones,https://d1923uyy6spedc.cloudfront.net/coach-cards/Daru-Jones-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Daru-Jones-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Daru-Jones-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Daru-Jones-1920x1080.jpg
220743,david-frank,https://d1923uyy6spedc.cloudfront.net/coach-cards/David-Frank-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/David-Frank-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/David-Frank-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/David-Frank-1920x1080.jpg
220741,tony-coleman,https://d1923uyy6spedc.cloudfront.net/coach-cards/Tony-Coleman-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Tony-Coleman-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Tony-Coleman-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Tony-Coleman-1920x1080.jpg
220735,marco-minneman,https://d1923uyy6spedc.cloudfront.net/coach-cards/Marco-Minnemann-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Marco-Minnemann-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Marco-Minnemann-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Marco-Minnemann-1920x1080.jpg
215677,brian-tichy,https://d1923uyy6spedc.cloudfront.net/coach-cards/Brian-Tichy-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Brian-Tichy-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Brian-Tichy-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Brian-Tichy-1920-1080.jpg
215078,harry-miree,https://d1923uyy6spedc.cloudfront.net/coach-cards/Harry-Miree-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Harry-Miree-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Harry-Miree-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Harry-Miree-1920-1080.jpg
214093,stan-bicknell,https://d1923uyy6spedc.cloudfront.net/coach-cards/Stan-Bicknell-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Stan-Bicknell-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Stan-Bicknell-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Stan-Bicknell-1920x1080.jpg
