id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
196989,recording,5 Essential Funk Chords,Funk/Disco,,,,,Chords,,,
196990,recording,Funk Chords Practice Along,Funk/Disco,,,,,Chords,,,
197799,recording,Palm Muting Techniques,,Embellishments,,,,,,,
197800,recording,Rhythm Guitar Practice Along,,Picking,,,,,,,
197914,recording,Country Rhythm Guitar,Country/Folk,Fingerstyle,,,,,,,
197917,recording,Country Guitar Practice Along,Country/Folk,Picking,Fingerstyle,,,,,,
198188,recording,Songwriting Tactics,,,,,,,Improvisation & Songwriting,,
198190,recording,Writing Guitar Parts Practice Along,,,,,Composition & Arranging,Improvisation & Songwriting,,,
198525,recording,Setting Up Your Amp,,,,,,,,,Gigging Tips & Gear
198552,recording,Bending Practice Along,,Embellishments,,,,,,,
198553,recording,3-Note Per-String Scales,,,,,Scales & Modes,,,,
198554,recording,3-Note Per-String Practice Along,,,,,Scales & Modes,,,,
198626,course,The CAGED System,,,,,Chord Theory,Chords,,,
202392,recording,DADGAD Tuning,,,,,,Chords - Alternate Tunings,,,
202394,recording,DADGAD Practice Along,,,,,,Chords - Alternate Tunings,,,
202396,course,Expanding Your Chord Vocabulary,,,,,Chord Theory,Chords,,,
202397,recording,Fretboard Layout,,,,,,,,,Gigging Tips & Gear
202398,recording,Fretboard Layout Practice Along,,,,,,,,,Gigging Tips & Gear
202399,recording,Effortless Mastery,,,,,,,,,
202400,recording,Key Of D Major Practice Along,,,,Scales & Modes,Chord Theory,Chords,,,
202401,recording,Creative Legato Concepts,,Embellishments,,,,,,,
202404,recording,Legato Practice Along,,Embellishments,,,,,,,
202911,recording,Fingerstyle Movement,,Fingerstyle,,,,,,,
203419,recording,Jazz Up Your Licks,Jazz/Blues,,,,,Licks,,,
203653,recording,Applying the Blues to Pop,,,,,,Licks,,,
203900,recording,Question & Answer 6/12/2018,,,,,,,,,Other
206829,recording,Question & Answer 6/5/2018,,,,,,,,,Other
207345,recording,Question & Answer 6/26/2018,,,,,,,,,Other
207346,recording,Question & Answer 7/3/2018,,,,,,,,,Other
207747,course,Altered & Open Tunings,,,,,,Chords - Alternate Tunings,,,
208437,recording,Question & Answer 7/10/2018,,,,,,,,,Other
208438,recording,Question & Answer 7/17/2018,,,,,,,,,Other
208441,recording,Question & Answer 7/24/2018,,,,,,,,,Other
208442,recording,Question & Answer 7/31/2018,,,,,,,,,Other
208443,recording,Question & Answer 8/07/2018,,,,,,,,,Other
208444,recording,Question & Answer 8/14/2018,,,,,,,,,Other
208445,recording,Question & Answer 8/21/2018,,,,,,,,,Other
208446,recording,Special Guest,,,,,,,,,Other
210699,recording,Question & Answer 9/4/2018,,,,,,,,,Other
210700,recording,Question & Answer 9/11/2018,,,,,,,,,Other
210701,recording,Question & Answer 9/18/2018,,,,,,,,,Other
210702,recording,Question & Answer 9/25/2018,,,,,,,,,Other
212578,recording,Question & Answer 10/02/2018,,,,,,,,,Other
212579,recording,Question & Answer 10/09/2018,,,,,,,,,Other
212580,recording,Question & Answer 10/16/2018,,,,,,,,,Other
212581,recording,Question & Answer 10/23/2018,,,,,,,,,Other
212582,recording,Question & Answer 10/30/2018,,,,,,,,,Other
215038,recording,Question & Answer 11/06/2018,,,,,,,,,Other
215039,recording,Question & Answer 11/13/2018,,,,,,,,,Other
215040,recording,Question & Answer 11/20/2018,,,,,,,,,Other
215041,recording,Question & Answer 11/27/2018,,,,,,,,,Other
215042,recording,Question & Answer 12/04/2018,,,,,,,,,Other
215044,recording,Question & Answer 12/11/2018,,,,,,,,,Other
215045,recording,Question & Answer 12/18/2018,,,,,,,,,Other
216116,course,White Christmas,,Picking,,,,Chords,,,
217302,recording,Question & Answer 01/08/2019,,,,,,,,,Other
217303,recording,Question & Answer 01/15/2019,,,,,,,,,Other
217304,recording,Question & Answer 01/22/2019,,,,,,,,,Other
217305,recording,Question & Answer 01/29/2019,,,,,,,,,Other
217711,recording,2019 Guitareo Member's Area Update,,,,,,,,,Other
218758,course,Shaping Up The Neck,,,,,,Chords,Improvisation & Songwriting,,
218900,recording,"Student Focus - Crataegus, Dzee, MattS, Jime",,,,,,,,,Practice Tips
218903,recording,Question & Answer 02/12/2019,,,,,,,,,Other
218904,recording,Question & Answer 02/19/2019,,,,,,,,,Other
218907,recording,Question & Answer 02/26/2019,,,,,,,,,Other
220970,recording,Question & Answer 03/05/2019,,,,,,,,,Other
220971,recording,Question & Answer 03/12/2019,,,,,,,,,Other
220975,recording,Question & Answer 03/19/2019,,,,,,,,,Other
220976,recording,Question & Answer 03/26/2019,,,,,,,,,Other
220981,course,Tightening Up Your Timing & Feel,,Timing & Groove,,,,,,,
222393,course,Hallelujah,,Picking,,,,Chords,,,
222504,quick-tips,Top-5 Mötley Crüe Riffs,Hard Rock/Metal,,,,,Licks,,,
222546,recording,"Crataegus, Irwin1957, Les Johnson, MattS, NormG",,,,,,,,,Practice Tips
222548,recording,Question & Answer 04/09/2019,,,,,,,,,Other
222550,recording,Question & Answer 04/16/2019,,,,,,,,,Other
222551,recording,Question & Answer 04/23/2019,,,,,,,,,Other
222553,recording,Question & Answer 04/30/2019,,,,,,,,,Other
222675,course,Introduction To Looping,,Pedaling,,,,,,,
222723,quick-tips,Bad At Bar Chords? Try This Instead!,,,,,,Chords,,,
222727,quick-tips,Hallelujah - Guitar Lesson,,Picking,,,,Chords,,,
222731,quick-tips,5 HUGE Guitar Practice Mistakes,,,,,,,,,Practice Tips
222732,quick-tips,Building Coordination For Fingerstyle Guitar,,Fingerstyle,,,,,,,
222733,quick-tips,The 200-Foot Guitar Cable,,,,,,,,,Gigging Tips & Gear
222734,quick-tips,8 Fingerstyle Patterns You Must Know,,Fingerstyle,,,,,,,
222961,quick-tips,10 Ways To Get Better Faster On Guitar,,Speed & Stamina,,,,,,,
222965,course,Home Sweet Home,Hard Rock/Metal,Fingerstyle,Picking,,,,,,
223294,course,Yesterday,Pop/Rock,Fingerstyle,,,,,,,
223535,quick-tips,Improvising Solos For Beginners,,,,,,Improvisation & Songwriting,,,
223536,quick-tips,7 Fingerstyle Songs You Must Know,,Fingerstyle,,,,,,,
223537,quick-tips,"Pain, Stiffness, & Playing Guitar",,,,,,,,,Practice Tips
223538,quick-tips,Top 5 Nirvana Riffs,Pop/Rock,,,,,Chords,,,
223539,quick-tips,Learn Strumming With CCR,Pop/Rock,Picking,,,,,,,
223940,quick-tips,Guitar Unboxing - How Many Guitars Do You Need,,,,,,,,,Gigging Tips & Gear
223941,quick-tips,20 Chords Every Guitar Player Needs To Know,,,,,,Chords,,,
223942,quick-tips,12 Easy Acoustic Guitar Songs,Pop/Rock,Picking,,,,,,,
223944,course,Triad Essentials,,,,,,Chords,,,
224450,quick-tips,Spanish Guitar,,Fingerstyle,,,,,,,
224451,recording,"Adrienne Daly, Crataegus, DavidL, DHYCIX, Jrod, MattS, Randy Epp",,,,,,,,,Practice Tips
224452,quick-tips,$3000 Guitar That Plays Like A Piece of Literal Trash,,,,,,,,,Gigging Tips & Gear
224453,quick-tips,Economy vs. Alternate Picking,,Picking,,,,,,,
224454,recording,Question & Answer 05/15/2019,,,,,,,,,Other
224455,quick-tips,"Elton John - ""Rocketman""",Pop/Rock,Picking,,,,Chords,,,
224456,quick-tips,"The Beatles - ""Blackbird""",Pop/Rock,Fingerstyle,,,,,,,
224457,recording,Question & Answer 05/22/2019,,,,,,,,,Other
224460,recording,Question & Answer 05/31/2019,,,,,,,,,Other
224461,course,7th Chords on the 5th String,,,,,,Chords,,,
226129,recording,"Irwin1957, Les Johnson, MattS, NormG, Tim DHYCIX, Wi11",,,,,,,,,Practice Tips
226138,recording,Question & Answer 06/26/2019,,,,,,,,,Other
226140,recording,Question & Answer 06/19/2019,,,,,,,,,Other
227106,recording,Question & Answer 07/03/2019,,,,,,,,,Other
227107,recording,Question & Answer 07/10/2019,,,,,,,,,Other
227108,recording,Question & Answer 07/17/2019,,,,,,,,,Other
227109,recording,Question & Answer 07/24/2019,,,,,,,,,Other
228692,recording,Question & Answer 07/31/2019,,,,,,,,,Other
230249,recording,Question & Answer 08/14/2019,,,,,,,,,Other
