Name,Section/Column,Due Date,Tags,Copyright,XP,Instructor,Status - Workouts,Style,Topic Filter,Difficulty,Asset Folder,Video ID - Workouts,Duration,SSID - Workouts,Chapter 1,Chapter 2,Chapter 3,Chapter 4,Chapter 5,Chapter 6,Thumbnail URL,Video Host,Thumbnail Name
10-Minute Major Arpeggio Warmup,Launch Workouts (January 1st),,,No,200,Kent Shores,Ready,Rock,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,888553222,672,Df6wc,Exercise #1:47,Exercise #2:196,Exercise #3:345,Exercise #4:495,Wrap Up:633,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/10-Minute-Major-Arpeggio-Warmup.jpg,Vimeo,10minute-major-arpeggio-warmup.jpg
Color Chord Basics,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Pop,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,887090673,677,6SWwc,"C, Am, F And G:44",Cmaj7 And Am7:108,Fmaj7 And G7:236,"Cmaj7 And Fmaj7, Am7 And G7:364","Cmaj7, Am7, Fmaj7 And G7:492",Wrap Up:677,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Color-Chord-Basics.jpg,Vimeo,color-chord-basics.jpg
Constant Strumming Technique,Launch Workouts (January 1st),,,No,200,Andrew Clarke,Ready,Folk,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,885397656,668,Hqxwc,Exercise #1:24,Exercise #2:204,Exercise #3:382,Exercise #4:526,Outro:660,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Constant-Strumming-Technique.jpg,Vimeo,constant-strumming-technique.jpg
Neo-Soul Essentials,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,R&B/Soul,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,878099154,344,-yLwc,Chords:22,Hammer-On:75,Hammer-On & Pull-Off:182,Improvise:288,Outro:331,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Neo-Soul-Essentials.jpg,Vimeo,neosoul-essentials.jpg
Punk Strumming Essentials,Launch Workouts (January 1st),,,No,200,Kent Shores,Ready,Rock,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,888907224,698,8hJwc,Exercise #1:49,Exercise #2:203,Exercise #3:401,Exercise #4:529,Wrap Up:657,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Punk-Strumming-Essentials.jpg,Vimeo,punk-strumming-essentials.jpg
E Major Improvisation,Launch Workouts (January 1st),,,No,200,Andrew Clarke,Ready,Pop,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,885405743,694,14xwc,Exercise #1:29,Exercise #2:258,Exercise #3:491,Wrap Up:677,,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Intermediate-E-Major-Improvisation.jpg,Vimeo,e-major-improvisation.jpg
Funk Guitar Essentials,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Funk,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,878087066,652,1yLwc,Lick On A String:15,E9 Chord:293,Chord Sliding:453,Funk Lick And E9 Chord:559,Wrap-up:623,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Funk-Guitar-Essentials.jpg,Vimeo,funk-guitar-essentials.jpg
Texas Blues Essentials,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Blues,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU,887091128,618,24Lwc,Shuffle:16,Chords:240,Turnaround:326,Everything Together:432,Outro:624,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Texas-Blues-Essentials.jpg,Vimeo,texas-blues-essentials.jpg
Classic Rock Essentials,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Rock,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,878126504,913,1SWwc,Power Chords:29,Rock Lick #1 and #2:269,Improvise - Trading:581,Jam:713,Solo:809,Outro:893,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Classic-Rock-Essentials.jpg,Vimeo,classic-rock-essentials.jpg
Immigrant Song,Launch Workouts (January 1st),,,Yes,200,Kent Shores,Ready,Rock,Riffs,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,_KgyHrKHlUg,366,Z1Nwc,Exercise #1:28,Exercise #2:97,Exercise #3:131,Exercise #4:165,Exercise #5:251,Outro:337,https://d1923uyy6spedc.cloudfront.net/Immigrant-Song-1702680719.jpg,YouTube,immigrant-song.jpg
(I Can't Get No) Satisfaction,Launch Workouts (January 1st),,,Yes,200,Ayla Tesler-Mabe,Ready,Rock,Riffs,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,OJKUyqtMdZU,331,8KBwc,Exercise #1:36,Exercise #2:91,Exercise #3:147,Exercise #4:203,Outro:314,,https://d1923uyy6spedc.cloudfront.net/I-Can't-Get-No-Satisfaction-1702661275.jpg,YouTube,i-cant-get-no-satisfaction.jpg
Killing in the Name,Launch Workouts (January 1st),,,Yes,200,Ayla Tesler-Mabe,Ready,Rock,Riffs,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,H5zbj9QAIJs,344,-PBwc,Riff Version #1:41,Riff Version #2:113,Riff Version #3:162,Riff Version #4:185,Complete Riff:269,Outro:332,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Killing-In-The-Name.jpg,YouTube,killing-in-the-name.jpg
Day Tripper,Launch Workouts (January 1st),,,Yes,200,Ayla Tesler-Mabe,Ready,Rock,Riffs,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,939LLrlOV6I,343,29Bwc,Exercise #1:26,Exercise #2:125,Exercise #3:209,Exercise #4:265,Outro:328,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Day-Tripper.jpg,YouTube,day-tripper.jpg
Sweet Home Alabama,Launch Workouts (January 1st),,,Yes,200,Ayla Tesler-Mabe,Ready,Rock,Riffs,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,oR0DKWjU-dA,651,CKBwc,Exercise #1:40,Exercise #2:210,Exercise #3:260,Exercise #4:360,Exercise #5:510,Outro:630,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Sweet-Home-Alabama.jpg,YouTube,sweet-home-alabama.jpg
Wonderwall,Launch Workouts (January 1st),,,Yes,200,Kent Shores,Ready,Rock,Riffs,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,DQgB0B2oXW0,697,QcCwc,Exercise #1:52,Exercise #2:140,Exercise #3:228,Exercise #4:317,Exercise #5:493,Wrap Up:670,https://d1923uyy6spedc.cloudfront.net/Wonderwall-1702680869.jpg,YouTube,wonderwall.jpg
Hey Joe,Launch Workouts (January 1st),,,Yes,200,Ayla Tesler-Mabe,Ready,Rock,Riffs,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,cGa0YbzaPKU,628,c2Bwc,Exercise #1:46,Exercise #2:154,Exercise #3:263,Exercise #4:371,Exercise #5:480,Outro:640,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Hey-Joe.jpg,YouTube,hey-joe.jpg
Fast Car,Launch Workouts (January 1st),,,Yes,200,Kent Shores,Ready,Folk,Riffs,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,ljLrDL482sg,634,LV6wc,Exercise #1:36,Exercise #2:134,Exercise #3:232,Exercise #4:330,Exercise #5:428,Outro:614,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Fast-Car.jpg,YouTube,fast-car.jpg
A Horse With No Name,Launch Workouts (January 1st),,,Yes,200,Kent Shores,Ready,Folk,Riffs,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,RSXOQtMzWTM,637,hV6wc,Exercise #1:42,Exercise #2:120,Exercise #3:254,Exercise #4:352,Exercise #5:507,Outro:615,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/A-Horse-With-No-Name.jpg,YouTube,a-horse-with-no-name.jpg
