id,type,brand,assignment_id,soundslice_slug,length_in_seconds
380648,song,singeo,380649,P8C4c,150
380650,song,singeo,380651,98C4c,155
380652,song,singeo,380653,K8C4c,166
380654,song,singeo,380655,x8C4c,126
380656,song,singeo,380657,-8C4c,138
380658,song,singeo,380659,Q8C4c,131
380660,song,singeo,380661,n8C4c,260
380662,song,singeo,380663,F8C4c,169
380664,song,singeo,380665,t8C4c,127
380666,song,singeo,380667,58C4c,149
380668,song,singeo,380669,g8C4c,146
380670,song,singeo,380671,68C4c,146
380672,song,singeo,380673,G8C4c,162
380674,song,singeo,380675,r8C4c,189
380676,song,singeo,380677,h8C4c,184
380678,song,singeo,380679,m8C4c,218
380680,song,singeo,380681,S8C4c,158
380682,song,singeo,380683,p8C4c,285
380684,song,singeo,380685,NdC4c,164
380686,song,singeo,380687,cdC4c,255
380688,song,singeo,380689,VdC4c,148
380690,song,singeo,380691,fdC4c,134
380692,song,singeo,380693,DdC4c,244
380694,song,singeo,380695,MdC4c,133
380696,song,singeo,380697,kdC4c,197
380698,song,singeo,380699,4dC4c,427
380700,song,singeo,380701,ydC4c,166
380702,song,singeo,380703,wdC4c,214
380704,song,singeo,380705,YdC4c,230
380706,song,singeo,380707,ldC4c,292
380708,song,singeo,380709,zdC4c,239
380710,song,singeo,380711,2dC4c,392
380712,song,singeo,380713,CdC4c,213
380714,song,singeo,380715,RdC4c,332
380716,song,singeo,380717,3dC4c,257
380718,song,singeo,380719,XdC4c,220
380720,song,singeo,380721,qdC4c,129
380722,song,singeo,380723,HdC4c,193
380724,song,singeo,380725,TdC4c,150
380726,song,singeo,380727,JdC4c,218
380728,song,singeo,380729,bdC4c,190
380730,song,singeo,380731,sdC4c,192
380732,song,singeo,380733,1dC4c,218
380734,song,singeo,380735,8dC4c,237
380736,song,singeo,380737,ddC4c,128
380738,song,singeo,380739,7dC4c,333
380740,song,singeo,380741,WdC4c,329
380742,song,singeo,380743,BdC4c,318
380744,song,singeo,380745,ZdC4c,187
380746,song,singeo,380747,LdC4c,194
380748,song,singeo,380749,jdC4c,243
380750,song,singeo,380751,PdC4c,208
380752,song,singeo,380753,9dC4c,147
380754,song,singeo,380755,KdC4c,254
380756,song,singeo,380757,xdC4c,253
380758,song,singeo,380759,-dC4c,232
380760,song,singeo,380761,QdC4c,162
380762,song,singeo,380763,ndC4c,169
380764,song,singeo,380765,FdC4c,199
380766,song,singeo,380767,tdC4c,217
380768,song,singeo,380207,5dC4c,165
380769,song,singeo,380770,gdC4c,173
380771,song,singeo,380772,6dC4c,225
380773,song,singeo,380774,GdC4c,258
380775,song,singeo,380776,rdC4c,139
380777,song,singeo,380778,4pk4c,139
380779,song,singeo,380780,mdC4c,139
380781,song,singeo,380782,vdC4c,149
380783,song,singeo,380784,SdC4c,195
380785,song,singeo,380786,pdC4c,175
380787,song,singeo,380788,N7C4c,162
380789,song,singeo,380790,c7C4c,191
380791,song,singeo,380792,V7C4c,279
380793,song,singeo,380794,f7C4c,169
380795,song,singeo,381298,D7C4c,174
380797,song,singeo,380798,M7C4c,191
380799,song,singeo,380800,k7C4c,153
380801,song,singeo,380796,47C4c,174
380802,song,singeo,380803,y7C4c,126
380804,song,singeo,380805,w7C4c,297
380806,song,singeo,380807,Y7C4c,194
380808,song,singeo,380809,l7C4c,117
380810,song,singeo,380811,z7C4c,173
380812,song,singeo,380813,27C4c,68
380814,song,singeo,380815,C7C4c,146
380816,song,singeo,380817,R7C4c,115
380818,song,singeo,380819,37C4c,93
380820,song,singeo,380821,X7C4c,38
