id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
307486,coach-stream,Dr. Throwdown’s Drumline Summer Camp - Summer Camp Wrap-Up,,Rudiments,Hand Technique,,,,,,
307530,quick-tips,The Most Popular Song On Earth - All About The Beat,,Foot Technique,,,,Independence,,,
307531,gear-guides,Vintage Gretsch Kit Restoration - Part #2: Assembly & Recording,,,,,,,,,Other
307533,podcasts,The Greek God Of Double Bass (With George Kollias),,,,,,,,,Gigging Tips & Gear
307571,coach-stream,"Hurray, Let's Hip-Hop-A-Way!",,,,Time Signatures,,,,Gigging Tips & Gear,Other
30793,boot-camps,Intermediate Bass Drum Boot Camp,Latin/World,,,,,Grooves,,,
30801,performances,Childish Japes Performance & Interview,,,,,,,,,
30809,boot-camps,Beginner Double Bass Boot Camp,,,,,,,,,
308480,podcasts,"My Little Company, Sugar Percussion (With Jefferson Shallenberger)",,Rudiments,Hand Technique,,,,,,
30864,boot-camps,Intermediate Double Bass Boot Camp,,,,,,,,,
30877,course,Exploring Afrobeats Around The Kit,,,,,,,,,
308786,performances,"Pat Petrillo's NYC Big Rhythm Band - ""Got To Get You Into My Life""",,,,,,Grooves,Fills & Chops,,
308792,performances,"Pat Petrillo's NYC Big Rhythm Band - ""Magical Mystery Tour""",,,,,,,,,Podcast
308794,performances,"Pat Petrillo's NYC Big Rhythm Band - ""Tell Me Why""",,,,,,,,,Performance
308795,gear-guides,Can We Make A Kid's Drum-Set Sound Good?,,,,,,,,,
308796,gear-guides,Murat Diril Cymbals Demo,,,,,,,,,
308797,podcasts,A Call With Dennis Chambers,,,,,,,,Other,Gigging Tips & Gear
308799,quick-tips,The Genius Of Alex Van Halen,,,,,,,,,Gigging Tips & Gear
308800,podcasts,What Is The Deal With Endorsements? (With Todd Sucherman),,,,,,,,,
308802,course,Creative Double Bass For Non-Metal Drummers,,,,,,,,,
308803,podcasts,Real Talk (With Larnell Lewis),,,,,,,,,Gigging Tips & Gear
308804,performances,Good Stuff,,,,,,,,,
30952,course,Drum Corps 101,,Foot Technique,,,,Grooves,,,
309729,performances,"Olivia Rodrigo - ""Good 4 U""",,,,,,,,,Other
30998,course,Developing Creative Drum Fills,,Foot Technique,,,,Double Bass,,,
31052,course,Fills And Grooves Against The Dotted 8th Note Pulse,,,,,,,,,
31086,course,The Rock Beat Formula,,,,Time Signatures,,Grooves,Independence,,
31136,boot-camps,Intermediate Double Stroke Roll Boot Camp,Pop/Rock,,,,,Grooves,,,
311596,student-collaborations,Summer Drumline Camp Student Collaboration Video,,,,,,,,,Other
311626,performances,"Ariana Grande - ""Positions""",,,,,,Fills & Chops,,,
312278,performances,"Pat Petrillo's NYC Big Rhythm Band - ""Local Hero""",,,,,,,,,
312280,performances,"Pat Petrillo's NYC Big Rhythm Band - ""Martha My Dear""",,,,,,,,,Gigging Tips & Gear
312281,podcasts,It’s Time For A Laugh,,,,,,,,,
312283,podcasts,Does Creativity Ever Tire? (With Billy Cobham),,,,,,,,,Performance
312284,podcasts,Create With Passion - Part #1 (With Brandon Scott),,,,,,,,Gigging Tips & Gear,Other
312285,performances,"Pat Petrillo's NYC Big Rhythm Band - ""Sexy Sadie""",,Rudiments,,,,Grooves,,,
312286,performances,"Pat Petrillo's NYC Big Rhythm Band - ""Savoy Truffle""",,,,,,,,,
312289,gear-guides,The Importance Of Electronics In Modern Music,,,,,,,,,Performance
312293,quick-tips,Drummers You've Heard But Never Heard Of,,,,,,,,,
312391,performances,"Damien Schmitt - ""From The Satellite""",,,,,,,,,
